File_Type,GValue
File_Version,2
GP,
MTP_Type,24Wells_Square
MTP_Wells_X,6
MTP_Wells_Y,4
Timestamp,20210507_171028
MTP,3
Plate-ID,
Cal File Used,cal_white24square
Well_Distance_X_MM,18
Well_Distance_Y_MM,18
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,6,0
Rectangle_Spot_Size_Y_MM,6,0
Deviation_From_Center_X_MM,0,0
Deviation_From_Center_Y_MM,0,0
Deviation_From_Perfect_Parallelness_DEG,0,0
Geometric_Correction_MM,0,60
Ignore_Top_G_Pixel_Percent,25,0
Ignore_Bottom_G_Pixel_Percent,10,0

Time (min),A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,,Input_Image
0,"21,059","19,609","27,764","21,378","22,303","21,278","20,928","22,740","19,129","20,408","28,956","18,949","18,901","32,956","18,206","27,293","26,341","20,052","7,926","9,674","10,658","10,026","9,335","8,474",,mtp03_20210507_171028.bmp
30,"20,753","19,489","28,003","21,648","23,535","21,598","21,594","22,682","19,106","21,025","28,132","19,250","19,016","31,708","18,575","26,730","26,831","20,236","7,920","9,642","10,636","9,986","9,283","8,465",,mtp03_20210507_174030.bmp
60,"21,211","19,892","28,198","21,987","23,412","21,601","21,733","22,435","19,986","21,379","28,744","19,748","20,049","32,826","19,288","26,316","26,856","20,959","7,923","9,681","10,583","10,022","9,386","8,532",,mtp03_20210507_181029.bmp
90,"21,439","20,174","29,396","22,144","23,465","21,574","21,451","21,998","20,237","21,557","29,632","19,970","20,212","33,937","19,682","27,551","27,964","21,120","7,919","9,641","10,610","9,986","9,317","8,540",,mtp03_20210507_184030.bmp
120,"21,351","20,374","30,146","22,061","23,471","21,495","20,990","22,404","19,898","21,158","30,101","20,294","20,138","34,967","19,750","28,724","28,535","21,180","7,838","9,628","10,611","9,984","9,278","8,475",,mtp03_20210507_191031.bmp
150,"20,957","20,453","30,808","21,769","23,636","21,499","21,882","23,492","19,433","21,039","30,888","20,049","19,745","36,382","19,658","28,560","29,207","20,755","7,873","9,634","10,601","10,011","9,345","8,551",,mtp03_20210507_194031.bmp
180,"21,085","19,707","32,096","21,915","24,804","22,248","22,820","24,204","19,287","22,289","31,331","19,600","19,468","36,984","19,178","28,769","29,449","20,570","7,879","9,610","10,572","9,992","9,317","8,507",,mtp03_20210507_201030.bmp
210,"22,085","20,417","32,995","22,778","25,471","23,209","23,545","23,890","20,545","22,267","32,952","19,885","20,135","39,813","18,957","29,957","30,240","21,148","7,909","9,636","10,603","9,995","9,282","8,465",,mtp03_20210507_204030.bmp
240,"23,139","20,935","34,777","23,345","25,486","23,423","22,980","23,904","20,884","21,850","34,860","20,082","20,363","41,973","19,495","31,646","31,454","21,278","7,869","9,596","10,622","9,971","9,295","8,506",,mtp03_20210507_211031.bmp
270,"23,198","21,134","36,954","23,563","25,908","23,845","23,929","25,510","20,776","22,300","38,374","20,321","20,046","45,840","19,466","34,461","34,656","21,100","7,924","9,612","10,635","9,966","9,318","8,502",,mtp03_20210507_214031.bmp
